itemid,name,source_class,source_types,reason,evidence,evidence_sources
644,chunk_of_mythril_ore,ORDINARY_AVAILABLE,MINING|ORDINARY_MOB|NPC_VENDOR,Verified ordinary retail acquisition; LSB mob-only evidence is incomplete.,Mining in Palborough Mines; ordinary golems/Anticans; standard/guild merchants.,https://www.bg-wiki.com/ffxi/Mining|https://ffxiclopedia.fandom.com/wiki/Mythril_Ore
856,rabbit_hide,ORDINARY_AVAILABLE,ORDINARY_MOB|NPC_VENDOR,Verified ordinary retail acquisition.,"Wild Rabbit, Forest Hare, Savanna Rarab and other normal rabbit-family mobs; guild merchant.",https://www.bg-wiki.com/ffxi/Rabbit_Hide
857,dhalmel_hide,ORDINARY_AVAILABLE,ORDINARY_MOB|NPC_VENDOR,Verified ordinary retail acquisition.,Wild/Bull/Marine/Desert Dhalmels; Leathercraft guild merchant.,https://www.bg-wiki.com/ffxi/Dhalmel_Hide
893,giant_femur,ORDINARY_AVAILABLE,ORDINARY_MOB|NPC_VENDOR,Verified ordinary retail acquisition.,Wild/Bull/Marine/Desert Dhalmels; Bonecraft guild merchant.,https://www.bg-wiki.com/ffxi/Giant_Femur
896,scorpion_shell,ORDINARY_AVAILABLE,ORDINARY_MOB|EXCAVATION,Verified ordinary retail acquisition.,Mine/Scimitar/Maze/Labyrinth/Doom and other ordinary scorpions; excavation.,https://ffxiclopedia.fandom.com/wiki/Scorpion_Shell|https://ffxiclopedia.fandom.com/wiki/Doom_Scorpion
897,scorpion_claw,ORDINARY_AVAILABLE,ORDINARY_MOB,Verified ordinary retail acquisition.,Doom Scorpion and other ordinary scorpion-family mobs.,https://ffxiclopedia.fandom.com/wiki/Doom_Scorpion
938,sprig_of_papaka_grass,ORDINARY_AVAILABLE,ORDINARY_MOB|CHOCOBO_DIGGING,Verified ordinary retail acquisition.,Desert Dhalmels and ordinary dhalmel populations; Chocobo Digging.,https://www.bg-wiki.com/ffxi/Papaka_Grass
955,golem_shard,ORDINARY_AVAILABLE,ORDINARY_MOB,Verified ordinary retail acquisition.,"Stone Golem, Ore Golem and other ordinary golem-family mobs.",https://ffxiclopedia.fandom.com/wiki/Golem_Shard
1237,bag_of_tree_cuttings,ORDINARY_AVAILABLE,ORDINARY_MOB|LOGGING|CHOCOBO_DIGGING,Verified ordinary retail acquisition.,Ordinary Goobbues plus logging/chocobo-digging routes.,https://ffxiclopedia.fandom.com/wiki/Tree_Cuttings|https://horizonffxi.wiki/Tree_Cuttings
1623,eft_skin,ORDINARY_AVAILABLE,ORDINARY_MOB,Verified ordinary retail acquisition.,"Eft, Tartarus Eft, Hypnos Eft and other ordinary eft-family mobs.",https://www.bg-wiki.com/ffxi/Eft_Skin
4359,slice_of_dhalmel_meat,ORDINARY_AVAILABLE,ORDINARY_MOB|NPC_VENDOR,Verified ordinary retail acquisition.,Bull/Desert and other ordinary Dhalmels; regional vendors.,https://www.bg-wiki.com/ffxi/Dhalmel_Meat
4362,lizard_egg,ORDINARY_AVAILABLE,ORDINARY_MOB|NPC_VENDOR,Verified ordinary retail acquisition.,Hill Lizard family and other ordinary lizards; standard merchant.,https://www.bg-wiki.com/ffxi/Lizard_Egg|https://classicffxi.fandom.com/wiki/Hill_Lizard
4412,thundermelon,ORDINARY_AVAILABLE,NPC_VENDOR,Verified ordinary retail acquisition.,"Cooking guild, Rabao and regional vendors.",https://www.bg-wiki.com/ffxi/Thundermelon
4432,kazham_pineapple,ORDINARY_AVAILABLE,NPC_VENDOR|ORDINARY_MOB|CHOCOBO_DIGGING,Verified ordinary retail acquisition.,Kazham/regional/guild merchants; ordinary Opo-opo drops; Chocobo Digging.,https://ffxiclopedia.fandom.com/wiki/Kazham_Pineapple
4468,bunch_of_pamamas,ORDINARY_AVAILABLE,NPC_VENDOR,Verified ordinary retail acquisition.,"Cooking guild, Kazham, Adoulin and regional vendors.",https://www.bg-wiki.com/ffxi/Pamamas
843,giant_bird_plume,ORDINARY_AVAILABLE,ORDINARY_MOB,Verified ordinary retail acquisition.,"Lesser Roc, Diatryma, Phorusrhacos, Peryton and other ordinary giant-bird mobs.",https://www.bg-wiki.com/ffxi/G._Bird_Plume
852,lizard_skin,ORDINARY_AVAILABLE,ORDINARY_MOB|NPC_VENDOR,Verified ordinary retail acquisition.,Mist/Riding/Hill/Rock/War/Ivory and other ordinary lizards; Leathercraft/Mog Garden vendors.,https://ffxiclopedia.fandom.com/wiki/Lizard_Skin|https://classicffxi.fandom.com/wiki/Hill_Lizard
