itemid,name,source_type,confidence,policy_hint,reason,path_family,file,line,context,auto_live_promotion
46,armor_box,NPC_VENDOR_REFERENCE,HIGH,VENDOR_REVIEW,LOCAL_SHOP_CONTEXT,NPC_SCRIPT,scripts/zones/Northern_San_dOria/npcs/Justi.lua,19,"local stock = ||     { ||         { xi.item.SPOOL_OF_BUNDLING_TWINE,    100, 3, }, ||         { xi.item.WATER_CASK,                 375, 3, }, ||         { xi.item.CUPBOARD,                 11508, 3, }, ||         { xi.item.OAK_TABLE,                93600, 3, }, ||         { xi.item.DRESSER,                 164160, 1, }, ||         { xi.item.ARMOR_BOX,                 6070, 3, }, ||         { xi.item.COFFER,                   25560, 2, }, ||         { xi.item.CABINET,                  67200, 1, }, ||         { xi.item.CHIFFONIER,               55128, 1, }, ||     } ||  ||     player:showText(npc, ID.text.JUSTI_SHOP_DIALOG) ||     xi.shop.nation(player, stock, xi.nation.SANDORIA)",0
46,armor_box,SCRIPT_REWARD,MEDIUM,PROTECTED_REVIEW,GENERIC_REWARD_LIKE_CONTEXT,OTHER,scripts/tests/systems/moghancement.lua,17,"end ||  ||         player:gotoMogHouse(xi.zone.WINDURST_WOODS) ||     end) ||  ||     it('breaks an aura tie by highest moghancement id', function() ||         -- Both Water/aura 2: Armor Box gives Water (517), Water Cask gives Gardening (521). ||         for _, itemId in ipairs({ xi.item.ARMOR_BOX, xi.item.WATER_CASK }) do ||             player:addItem(itemId) ||             player.actions:moveItem(xi.inv.INVENTORY, player:findItem(itemId, xi.inv.INVENTORY):getSlotID(), xi.inv.MOGSAFE, 1) ||         end ||  ||         local box  = player:findItem(xi.item.ARMOR_BOX, xi.inv.MOGSAFE) ||         local cask = player:findItem(xi.item.WATER_CASK, xi.inv.MOGSAFE) ||         assert(box)",0
46,armor_box,SCRIPT_REWARD,MEDIUM,PROTECTED_REVIEW,GENERIC_REWARD_LIKE_CONTEXT,OTHER,scripts/tests/systems/moghancement.lua,22,"it('breaks an aura tie by highest moghancement id', function() ||         -- Both Water/aura 2: Armor Box gives Water (517), Water Cask gives Gardening (521). ||         for _, itemId in ipairs({ xi.item.ARMOR_BOX, xi.item.WATER_CASK }) do ||             player:addItem(itemId) ||             player.actions:moveItem(xi.inv.INVENTORY, player:findItem(itemId, xi.inv.INVENTORY):getSlotID(), xi.inv.MOGSAFE, 1) ||         end ||  ||         local box  = player:findItem(xi.item.ARMOR_BOX, xi.inv.MOGSAFE) ||         local cask = player:findItem(xi.item.WATER_CASK, xi.inv.MOGSAFE) ||         assert(box) ||         assert(cask) ||  ||         -- Place cask first to prove ""most recently placed furniture"" tiebreaking isn't a thing. ||         player.actions:placeFurniture(xi.inv.MOGSAFE, cask:getSlotID(), 0, 0) ||         player.actions:placeFurniture(xi.inv.MOGSAFE, box:getSlotID(), 3, 0)",0
93,water_cask,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Northern_San_dOria/npcs/Justi.lua,15,"---@type TNpcEntity || local entity = {} ||  || entity.onTrigger = function(player, npc) ||     local stock = ||     { ||         { xi.item.SPOOL_OF_BUNDLING_TWINE,    100, 3, }, ||         { xi.item.WATER_CASK,                 375, 3, }, ||         { xi.item.CUPBOARD,                 11508, 3, }, ||         { xi.item.OAK_TABLE,                93600, 3, }, ||         { xi.item.DRESSER,                 164160, 1, }, ||         { xi.item.ARMOR_BOX,                 6070, 3, }, ||         { xi.item.COFFER,                   25560, 2, }, ||         { xi.item.CABINET,                  67200, 1, }, ||         { xi.item.CHIFFONIER,               55128, 1, },",0
93,water_cask,SCRIPT_REWARD,MEDIUM,PROTECTED_REVIEW,GENERIC_REWARD_LIKE_CONTEXT,OTHER,scripts/tests/systems/moghancement.lua,17,"end ||  ||         player:gotoMogHouse(xi.zone.WINDURST_WOODS) ||     end) ||  ||     it('breaks an aura tie by highest moghancement id', function() ||         -- Both Water/aura 2: Armor Box gives Water (517), Water Cask gives Gardening (521). ||         for _, itemId in ipairs({ xi.item.ARMOR_BOX, xi.item.WATER_CASK }) do ||             player:addItem(itemId) ||             player.actions:moveItem(xi.inv.INVENTORY, player:findItem(itemId, xi.inv.INVENTORY):getSlotID(), xi.inv.MOGSAFE, 1) ||         end ||  ||         local box  = player:findItem(xi.item.ARMOR_BOX, xi.inv.MOGSAFE) ||         local cask = player:findItem(xi.item.WATER_CASK, xi.inv.MOGSAFE) ||         assert(box)",0
93,water_cask,SCRIPT_REWARD,MEDIUM,PROTECTED_REVIEW,GENERIC_REWARD_LIKE_CONTEXT,OTHER,scripts/tests/systems/moghancement.lua,23,"-- Both Water/aura 2: Armor Box gives Water (517), Water Cask gives Gardening (521). ||         for _, itemId in ipairs({ xi.item.ARMOR_BOX, xi.item.WATER_CASK }) do ||             player:addItem(itemId) ||             player.actions:moveItem(xi.inv.INVENTORY, player:findItem(itemId, xi.inv.INVENTORY):getSlotID(), xi.inv.MOGSAFE, 1) ||         end ||  ||         local box  = player:findItem(xi.item.ARMOR_BOX, xi.inv.MOGSAFE) ||         local cask = player:findItem(xi.item.WATER_CASK, xi.inv.MOGSAFE) ||         assert(box) ||         assert(cask) ||  ||         -- Place cask first to prove ""most recently placed furniture"" tiebreaking isn't a thing. ||         player.actions:placeFurniture(xi.inv.MOGSAFE, cask:getSlotID(), 0, 0) ||         player.actions:placeFurniture(xi.inv.MOGSAFE, box:getSlotID(), 3, 0) ||         player.actions:finishFurnishing()",0
107,water_jug,NPC_VENDOR_REFERENCE,HIGH,VENDOR_REVIEW,LOCAL_SHOP_CONTEXT,NPC_SCRIPT,scripts/zones/Rabao/npcs/Scamplix.lua,23,"{ xi.item.ETHER,                      4832 }, ||         { xi.item.THUNDERMELON,                325 }, ||         { xi.item.WATERMELON,                  200 }, ||         { xi.item.POTION,                      910 }, ||         { xi.item.ANTIDOTE,                    316 }, ||         { xi.item.FLASK_OF_BLINDNESS_POTION,  1200 }, ||         { xi.item.MYTHRIL_EARRING,            4500 }, ||         { xi.item.WATER_JUG,                   200 }, ||     } ||  ||     player:showText(npc, zones[xi.zone.RABAO].text.SCAMPLIX_SHOP_DIALOG) ||     xi.shop.general(player, stock, xi.fameArea.SELBINA_RABAO) || end ||  || return entity",0
110,white_jar,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Windurst_Waters/npcs/Ensasa.lua,24,"{ xi.item.YELLOW_JAR,                496, 2 }, ||         { xi.item.TARUTARU_FOLDING_SCREEN,  3843, 1 }, ||         { xi.item.WOODEN_ARROW,                4, 2 }, ||         { xi.item.BONE_ARROW,                  5, 3 }, ||         { xi.item.CROSSBOW_BOLT,               6, 2 }, ||         { xi.item.SCROLL_OF_EARTH_THRENODY,  308, 3 }, ||         { xi.item.SCROLL_OF_FIRE_THRENODY,   700, 3 }, ||         { xi.item.WHITE_JAR,                5190, 3 }, ||         { xi.item.BUNDLE_OF_RIVER_FOLIAGE,   640, 3 }, ||         { xi.item.BUNDLE_OF_SEA_FOLIAGE,     640, 3 }, ||         { xi.item.LUGWORM,                    12, 3 }, ||         { xi.item.LITTLE_WORM,                 4, 3 }, ||     } ||  ||     player:showText(npc, zones[xi.zone.WINDURST_WATERS].text.ENSASA_SHOP_DIALOG)",0
112,yellow_jar,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Kazham/npcs/Toji_Mumosulah.lua,11,"----------------------------------- || ---@type TNpcEntity || local entity = {} ||  || entity.onTrigger = function(player, npc) ||     local stock = ||     { ||         { xi.item.YELLOW_JAR,                  496 }, ||         { xi.item.BLOOD_STONE,                 104 }, ||         { xi.item.FANG_NECKLACE,              3816 }, ||         { xi.item.BONE_EARRING,               1812 }, ||         { xi.item.SCROLL_OF_MONOMI_ICHI,      9590 }, ||         { xi.item.GEMSHORN,                   5160 }, ||         { xi.item.PEELED_CRAYFISH,              71 }, ||         { xi.item.BALL_OF_INSECT_PASTE,         40 },",0
112,yellow_jar,NPC_SCRIPT_REFERENCE,LOW,SOURCE_REVIEW,REFERENCE_WITHOUT_ACQUISITION_PROOF,NPC_SCRIPT,scripts/zones/Windurst_Waters/npcs/Ensasa.lua,17,"end ||  || entity.onTrigger = function(player, npc) ||     local stock = ||     { ||         { xi.item.EARTHEN_FLOWERPOT,        1000, 3 }, ||         { xi.item.TARUTARU_STOOL,           984, 3 }, ||         { xi.item.YELLOW_JAR,                496, 2 }, ||         { xi.item.TARUTARU_FOLDING_SCREEN,  3843, 1 }, ||         { xi.item.WOODEN_ARROW,                4, 2 }, ||         { xi.item.BONE_ARROW,                  5, 3 }, ||         { xi.item.CROSSBOW_BOLT,               6, 2 }, ||         { xi.item.SCROLL_OF_EARTH_THRENODY,  308, 3 }, ||         { xi.item.SCROLL_OF_FIRE_THRENODY,   700, 3 }, ||         { xi.item.WHITE_JAR,                5190, 3 },",0
